id,titulo,frente,estado,dono,dono_nomeado,depende_de,estimativa,evidencia,data_conferido,proximo_movimento,bloqueia_objetivo
UC-01,UI Otimista com Fila de Sincronização,2.1 Offline & Sincronização,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-01 — Status ✅,,,
UC-02,Armazenamento Separado para Conteúdo Offline,2.1 Offline & Sincronização,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-02 — Status ✅,,,
UC-03,Ranking Sincronizado e Projeção Offline,2.1 Offline & Sincronização,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-03 — Status ✅,,,
UC-04,Indexação Otimizada para Filtros Avançados Offline,2.2 Filtragem & Busca,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-04 — Status ✅,,,
UC-05,Filtragem Multidimensional Avançada Offline,2.2 Filtragem & Busca,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-05 — Status ✅,,,
UC-06,Análise de Desempenho por Filtros Salvos,2.2 Filtragem & Busca,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-06 — Status ✅,,,
UC-07,Resolução de Questões com Feedback em Tempo Real,2.3 Estudo & Aprendizado,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-07 — Status ✅,,,
UC-08,Estudo Contínuo com Repetição Espaçada (FSRS),2.3 Estudo & Aprendizado,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-08 — Status ✅,,,
UC-09,Mestria e Níveis de Proficiência,2.3 Estudo & Aprendizado,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-09 — Status ✅,,,
UC-10,Mini-Games Educativos e Economia de Pontos,2.3 Estudo & Aprendizado,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-10 — Status ✅,,,
UC-11,Estudo Contínuo e Gamificação (Streak),2.4 Gamificação & Engajamento,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-11 — Status ✅,,,
UC-12,Criação de Desafios Comunitários,2.4 Gamificação & Engajamento,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-12 — Status ✅,,,
UC-13,Criação de Metas de Estudo e Lembretes Inteligentes,2.5 Metas & Notificações,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-13 — Status ✅,,,
UC-14,Dashboard de Desempenho e Gráficos de Performance,2.6 Desempenho & Análise,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-14 — Status ✅,,,
UC-15,Gerenciamento de Download Paginado e Controle de Armazenamento,2.7 Gerenciamento de Conteúdo,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-15 — Status ✅,,,
UC-16,Edição de Alto Desempenho com Parsing Incremental em Background,2.8 Cadernos & Flashcards,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-16 — Status ✅,,,
UC-17,Preview em Tempo Real com Renderização Virtualizada,2.8 Cadernos & Flashcards,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-17 — Status ✅,,,
UC-18,Salvamento Automático e Persistência Offline Escalável,2.8 Cadernos & Flashcards,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-18 — Status ✅,,,
UC-19,Busca Instantânea com Indexação Local,2.8 Cadernos & Flashcards,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-19 — Status ✅,,,
UC-20,Identidade Única e Rastreabilidade de Questões,2.8 Cadernos & Flashcards,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-20 — Status ✅,,,
UC-21,Ingestão de Flashcards via Cadernos Markdown,2.8 Cadernos & Flashcards,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-21 — Status ✅,,,
UC-22,Onboarding e Configuração Inicial do Perfil,2.9 Usuário,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-22 — Status ✅,,,
UC-23,Gerenciamento de Perfil e Preferências,2.9 Usuário,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-23 — Status ✅,,,
UC-24,Autenticação e Recuperação de Acesso,2.9 Usuário,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-24 — Status ✅,,,
UC-25,Histórico de Estudo e Exportação de Dados,2.9 Usuário,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-25 — Status ✅,,,
UC-26,Controle de Privacidade e Exclusão de Conta,2.9 Usuário,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-26 — Status ✅,,,
UC-27,Renderização Interativa de Checklist no Verso do Cartão,2.10 Ultralearning — Renderização de Checklist,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-27 — Status ✅,,,
UC-28,Avaliação Automática por Resultado de Checklist,2.10 Ultralearning — Renderização de Checklist,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-28 — Status ✅,,,
UC-29,Badge Visual de Tipo de Cartão (Ultralearning),2.10 Ultralearning — Renderização de Checklist,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-29 — Status ✅,,,
UC-30,Configuração de Chave de API de IA,2.11 Ultralearning — Integração com IA,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-30 — Status ✅,,,
UC-31,Geração de Flashcards via IA (Caderno ou Tema Livre),2.11 Ultralearning — Integração com IA,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-31 — Status ✅,,,
UC-32,Preview e Edição de Cartões Gerados pela IA,2.11 Ultralearning — Integração com IA,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-32 — Status ✅,,,
UC-33,Importação de Flashcards via Arquivo .md,2.11 Ultralearning — Integração com IA,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-33 — Status ✅,,,
UC-34,Multiplicador de Intervalo FSRS por Tipo de Cartão,2.12 Ultralearning — Intervalo Modo Criterioso e Exportação,Em andamento,Chrystian Nascimento,sim,,,multiplicador existe em frontend/src/lib/fsrs.ts:92-102 mas o due ajustado não persiste porque getCardState reexecuta f.repeat sem multiplicador,2026-08-17,Aplicar typeMultiplier no replay de getCardState/getAllCardStates ou persistir o due no ReviewLog — hoje um FATO é revisto no mesmo dia que um CONCEITO,
UC-35,Modo Criterioso (Critérios-Primeiro),2.12 Ultralearning — Intervalo Modo Criterioso e Exportação,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-35 — Status ✅,,,
UC-36,Histórico de Desempenho por Tipo,2.12 Ultralearning — Intervalo Modo Criterioso e Exportação,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-36 — Status ✅,,,
UC-37,Exportar Deck no Formato Obsidian / Prompt Master,2.12 Ultralearning — Intervalo Modo Criterioso e Exportação,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-37 — Status ✅,,,
UC-38,Geração de Subgrupos de Caderno,2.X Subgrupos de Caderno,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-38 — Status ✅,,,
UC-39,Visualização do Painel de Subgrupos,2.X Subgrupos de Caderno,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-39 — Status ✅,,,
UC-40,Sessão de Estudo de Subgrupo,2.X Subgrupos de Caderno,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-40 — Status ✅,,,
UC-41,Shuffle e Reorganização de Subgrupos,2.X Subgrupos de Caderno,Concluido,Chrystian Nascimento,sim,,,USE_CASES.md §UC-41 — Status ✅,,,
RF-04,Login social com Google e Apple,Pendentes fora do escopo atual,A fazer,A NOMEAR,,,,USE_CASES.md apêndice Pendentes — prioridade Baixa; nenhuma rota de OAuth em openapi.json,2026-08-17,Decidir se entra no escopo antes de virar dívida silenciosa — sem dono a linha não é cobrável,
